Name,Num,By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jayson Tatum,#0,2017-18 ,BOS,9,34.0,17.4,5.8,13.6,42.6,1.2,3.9,31.4,4.7,5.3,87.5,0.6,4.1,4.7,2.9,1.9,1.3,0.7,1.9,31.5,1,0,3.4
Jaylen Brown,#7,2017-18 ,BOS,8,33.5,17.3,6.9,14.9,46.2,2.4,6.3,38.0,1.1,2.1,52.9,0.8,3.9,4.6,1.4,1.1,1.0,0.4,2.9,27.9,0,0,5.5
Jaylen Brown,#7,2016-17 ,BOS,17,12.6,5.0,2.0,4.2,47.9,0.3,1.4,21.7,0.7,1.1,66.7,0.7,1.4,2.1,0.8,0.8,0.4,0.1,1.5,9.3,0,0,-1.5
Shane Larkin,#8,2017-18 ,BOS,9,15.3,4.3,1.7,3.7,45.5,0.4,1.3,33.3,0.6,0.6,100,0.1,0.8,0.9,2.1,0.7,0.4,0.0,1.6,9.2,0,0,-1.8
Xavier Silas,#9,2017-18 ,BOS,2,3.7,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,2.7,0,0,0.5
Kyrie Irving,#11,2017-18 ,BOS,60,32.2,24.4,8.9,18.1,49.1,2.8,6.8,40.8,3.9,4.4,88.9,0.6,3.2,3.8,5.1,2.3,1.1,0.3,2.0,38.4,1,0,4.3
Terry Rozier,#12,2017-18 ,BOS,9,36.1,19.1,6.2,14.1,44.1,3.6,8.1,43.8,3.1,3.8,82.4,0.7,4.3,5.0,6.9,1.4,1.2,0.7,1.8,39.7,0,0,4.9
Terry Rozier,#12,2016-17 ,BOS,17,16.3,5.6,1.9,4.8,40.2,0.8,2.2,36.8,0.9,1.2,80.0,0.7,1.9,2.6,1.9,0.6,0.6,0.2,1.2,13.6,0,0,3.2
Terry Rozier,#12,2015-16 ,BOS,5,19.7,4.8,1.8,4.6,39.1,0.8,2.2,36.4,0.4,0.4,100,0.6,2.8,3.4,1.2,0.4,0.2,0.6,1.0,12.7,0,0,-5.2
Marcus Morris,#13,2017-18 ,BOS,9,27.7,12.8,4.6,11.7,39.0,1.4,3.2,44.8,2.2,3.3,66.7,0.7,4.3,5.0,1.1,1.0,0.3,0.1,2.8,20.8,0,0,1.0
Gordon Hayward,#20,2017-18 ,BOS,1,5.3,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,3.0
Jabari Bird,#26,2017-18 ,BOS,13,8.8,3.0,1.2,2.0,57.7,0.2,0.5,42.9,0.5,1.0,46.2,0.5,1.0,1.5,0.6,0.6,0.2,0.1,0.5,6.0,0,0,1.4
Daniel Theis,#27,2017-18 ,BOS,63,14.9,5.3,2.0,3.7,54.1,0.3,0.9,31.0,1.0,1.3,75.3,1.4,2.9,4.3,0.9,0.9,0.5,0.8,2.5,14.6,2,0,0.0
Abdel Nader,#28,2017-18 ,BOS,5,3.2,1.2,0.4,1.2,33.3,0.0,0.4,0.0,0.4,0.4,100,0.2,0.2,0.4,0.4,0.0,0.2,0.2,0.2,3.5,0,0,-1.4
Guerschon Yabusele,#30,2017-18 ,BOS,6,4.3,0.5,0.2,1.0,16.7,0.0,0.5,0.0,0.2,0.5,33.3,0.5,0.5,1.0,0.3,0.0,0.3,0.0,1.0,3.2,0,0,-0.5
Marcus Smart,#36,2017-18 ,BOS,5,30.9,9.6,3.0,9.6,31.3,1.2,5.2,23.1,2.4,2.8,85.7,0.8,3.0,3.8,4.6,2.6,1.4,1.0,3.2,25.7,0,0,1.2
Marcus Smart,#36,2016-17 ,BOS,18,29.9,8.6,2.6,7.4,35.1,1.6,4.1,39.7,1.8,2.8,64.0,1.3,3.4,4.7,4.7,2.1,1.5,0.9,2.8,26.4,0,0,-0.6
Marcus Smart,#36,2015-16 ,BOS,6,32.1,12.0,3.7,10.0,36.7,1.8,5.3,34.4,2.8,3.5,81.0,1.3,3.2,4.5,3.0,2.5,1.7,0.8,2.8,26.9,0,0,-2.8
Marcus Smart,#36,2014-15 ,BOS,4,22.5,9.8,3.5,7.3,48.3,0.8,3.3,23.1,2.0,3.8,53.3,1.3,1.5,2.8,1.3,1.0,0.3,0.3,3.0,15.4,0,0,-12.8
Semi Ojeleye,#37,2017-18 ,BOS,9,16.7,2.0,0.7,2.3,28.6,0.4,1.6,28.6,0.2,0.2,100,0.4,1.9,2.3,0.1,0.2,0.1,0.0,1.2,5.1,0,0,-0.6
Al Horford,#42,2017-18 ,BOS,9,35.0,18.4,6.9,11.2,61.4,1.0,2.3,42.9,3.7,4.6,80.5,1.9,7.0,8.9,3.6,2.2,0.7,1.1,2.6,37.6,4,0,5.9
Al Horford,#42,2016-17 ,BOS,18,33.9,15.1,6.2,10.6,58.4,1.5,2.9,51.9,1.2,1.6,75.9,1.7,4.8,6.6,5.4,1.8,0.8,0.8,1.8,34.0,3,0,-4.2
Kadeem Allen,#45,2017-18 ,BOS,18,6.0,1.1,0.3,1.2,27.3,0.0,0.6,0.0,0.4,0.5,77.8,0.2,0.4,0.6,0.7,0.5,0.2,0.1,0.8,3.1,0,0,-1.1
Aron Baynes,#46,2017-18 ,BOS,9,19.2,5.3,2.3,4.1,56.8,0.6,1.0,55.6,0.1,0.2,50.0,2.3,3.3,5.7,1.0,0.7,0.1,0.3,2.0,14.3,0,0,-1.7
Greg Monroe,#55,2017-18 ,BOS,6,10.8,5.3,1.8,4.5,40.7,0.0,0.0,0.0,1.7,2.5,66.7,1.8,2.0,3.8,0.7,1.3,0.2,0.2,0.5,10.6,1,0,-2.7
Jonathan Gibson,#60,2017-18 ,BOS,4,10.0,8.5,3.5,5.8,60.9,1.5,3.0,50.0,0.0,0.0,0.0,0.0,0.8,0.8,1.0,0.8,0.0,0.0,1.3,10.2,0,0,-0.3
James Webb III,#0,2017-18 ,BKN,10,12.0,1.6,0.6,2.4,25.0,0.4,1.9,21.1,0.0,0.0,0.0,0.8,1.6,2.4,0.4,0.4,0.1,0.0,1.0,5.0,0,0,-2.6
D'Angelo Russell,#1,2017-18 ,BKN,48,25.7,15.5,5.8,14.0,41.4,1.9,5.8,32.4,2.0,2.7,74.0,0.6,3.3,3.9,5.2,3.1,0.8,0.4,1.9,28.2,5,1,-3.8
Nik Stauskas,#2,2017-18 ,TOT,41,12.8,4.4,1.5,3.8,39.0,1.0,2.4,40.0,0.5,0.7,72.4,0.1,1.5,1.6,1.0,0.6,0.2,0.1,0.6,8.0,0,0,-1.4
Jahlil Okafor,#4,2017-18 ,TOT,28,12.6,6.3,2.8,4.9,55.8,0.0,0.1,25.0,0.8,1.0,72.4,0.8,2.3,3.0,0.4,0.8,0.1,0.6,1.8,12.1,0,0,-5.8
Jeremy Lin,#7,2017-18 ,BKN,1,25.2,18.0,5.0,12.0,41.7,1.0,2.0,50.0,7.0,7.0,100,0.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,21.0,0,0,-6.0
Jeremy Lin,#7,2016-17 ,BKN,36,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,29.0,3,0,-2.3
Spencer Dinwiddie,#8,2017-18 ,BKN,80,28.8,12.6,4.1,10.5,38.7,1.8,5.4,32.6,2.7,3.4,81.3,0.5,2.7,3.2,6.6,1.6,0.9,0.3,2.3,28.1,7,0,-1.2
